key,values
"(0.7, 0.6, 0.2, 0.2, 0.2)",2.7329829393990193
"(0.7, 0.6, 0.2, 0.2, 0.3)",2.848204086436439
"(0.7, 0.6, 0.2, 0.2, 0.4)",2.762406389921474
"(0.7, 0.6, 0.2, 0.2, 0.5)",2.7934620732185533
"(0.7, 0.6, 0.2, 0.3, 0.2)",2.7335451614375885
"(0.7, 0.6, 0.2, 0.3, 0.3)",2.6293209477344295
"(0.7, 0.6, 0.2, 0.3, 0.4)",2.787012982132262
"(0.7, 0.6, 0.2, 0.4, 0.2)",2.735239991465644
"(0.7, 0.6, 0.2, 0.4, 0.3)",2.697367405794679
"(0.7, 0.6, 0.2, 0.5, 0.2)",2.769085260550742
"(0.7, 0.6, 0.3, 0.2, 0.2)",2.5837986527819385
"(0.7, 0.6, 0.3, 0.2, 0.3)",2.7824522663322235
"(0.7, 0.6, 0.3, 0.2, 0.4)",2.484228932867708
"(0.7, 0.6, 0.3, 0.3, 0.2)",2.667440440764178
"(0.7, 0.6, 0.3, 0.3, 0.3)",2.745028340151978
"(0.7, 0.6, 0.3, 0.4, 0.2)",2.803015374915251
"(0.7, 0.6, 0.4, 0.2, 0.2)",2.821221412136189
"(0.7, 0.6, 0.4, 0.2, 0.3)",2.6259706262793805
"(0.7, 0.6, 0.4, 0.3, 0.2)",2.527541070572348
"(0.7, 0.6, 0.5, 0.2, 0.2)",2.6156473140796956
"(0.7, 0.7, 0.2, 0.2, 0.2)",2.705855438905281
"(0.7, 0.7, 0.2, 0.2, 0.3)",2.5464239640706663
"(0.7, 0.7, 0.2, 0.2, 0.4)",2.7867887007678283
"(0.7, 0.7, 0.2, 0.2, 0.5)",2.775836101476481
"(0.7, 0.7, 0.2, 0.3, 0.2)",2.761308914389981
"(0.7, 0.7, 0.2, 0.3, 0.3)",2.820384542019924
"(0.7, 0.7, 0.2, 0.3, 0.4)",2.842190689770271
"(0.7, 0.7, 0.2, 0.4, 0.2)",2.7463372324871203
"(0.7, 0.7, 0.2, 0.4, 0.3)",2.752120133243515
"(0.7, 0.7, 0.2, 0.5, 0.2)",2.662353783294179
"(0.7, 0.7, 0.3, 0.2, 0.2)",2.706928544198459
"(0.7, 0.7, 0.3, 0.2, 0.3)",2.7501740742810195
"(0.7, 0.7, 0.3, 0.2, 0.4)",2.7685021047577894
"(0.7, 0.7, 0.3, 0.3, 0.2)",2.8153531298450774
"(0.7, 0.7, 0.3, 0.3, 0.3)",2.6172292543336666
"(0.7, 0.7, 0.3, 0.4, 0.2)",2.7938704898284628
"(0.7, 0.7, 0.4, 0.2, 0.2)",2.742422095032602
"(0.7, 0.7, 0.4, 0.2, 0.3)",2.8083888137415394
"(0.7, 0.7, 0.4, 0.3, 0.2)",2.7891170250526787
"(0.7, 0.7, 0.5, 0.2, 0.2)",2.7233892285245656
"(0.7, 0.8, 0.2, 0.2, 0.2)",2.772001682701757
"(0.7, 0.8, 0.2, 0.2, 0.3)",2.7488179336332856
"(0.7, 0.8, 0.2, 0.2, 0.4)",2.7029618952805854
"(0.7, 0.8, 0.2, 0.2, 0.5)",2.661674067335351
"(0.7, 0.8, 0.2, 0.3, 0.2)",2.5171395761277586
"(0.7, 0.8, 0.2, 0.3, 0.3)",2.7335068493891184
"(0.7, 0.8, 0.2, 0.3, 0.4)",2.67688563605702
"(0.7, 0.8, 0.2, 0.4, 0.2)",2.7720407126067017
"(0.7, 0.8, 0.2, 0.4, 0.3)",2.7354716549575326
"(0.7, 0.8, 0.2, 0.5, 0.2)",2.780827878907363
"(0.7, 0.8, 0.3, 0.2, 0.2)",2.8282443307903007
"(0.7, 0.8, 0.3, 0.2, 0.3)",2.5582047991724384
"(0.7, 0.8, 0.3, 0.2, 0.4)",2.8652925172238466
"(0.7, 0.8, 0.3, 0.3, 0.2)",2.628882706029172
"(0.7, 0.8, 0.3, 0.3, 0.3)",2.85512066774733
"(0.7, 0.8, 0.3, 0.4, 0.2)",2.7269319707178847
"(0.7, 0.8, 0.4, 0.2, 0.2)",2.5481781629612796
"(0.7, 0.8, 0.4, 0.2, 0.3)",2.6882019537399255
"(0.7, 0.8, 0.4, 0.3, 0.2)",2.7200484816486377
"(0.7, 0.8, 0.5, 0.2, 0.2)",2.6507948604982166
"(0.8, 0.6, 0.2, 0.2, 0.2)",2.5113431584464236
"(0.8, 0.6, 0.2, 0.2, 0.3)",2.6988068629030577
